region_id	region_name	total	male	female	sex-ratio	density
LK	Sri Lanka	18797257	9359148	9438109	99.2	300
total	District-Total	16929689	8425607	8504082	99.1	344
LK-11	Colombo	2251274	1151413	1099861	104.7	3330
LK-12	Gampaha	2063684	1007702	1055982	95.4	1539
LK-13	Kalutara	1066239	527281	538958	97.8	677
LK-21	Kandy	1279028	623966	655062	95.3	667
LK-22	Matale	441328	220070	221258	99.5	226
LK-23	Nuwara Eliya	703610	350024	353586	99.0	412
LK-31	Galle	990487	481849	508638	94.7	613
LK-32	Matara	761370	369247	392123	94.2	600
LK-33	Hambantota	526414	263197	263217	100.0	211
LK-41	Jaffna	490621	242719	247902	97.9	528
LK-43	Mannar	151577	75024	76553	98.0	81
LK-44	Vavuniya	149835	75273	74562	101.0	81
LK-45	Mullaitivu	121667	60199	61468	97.9	50
LK-42	Kilinochchi	127263	63005	64258	98.1	106
LK-51	Batticaloa	486447	240314	246133	97.6	186
LK-52	Ampara	592997	299004	293993	101.7	140
LK-53	Trincomalee	340158	177007	163151	108.5	135
LK-61	Kurunegala	1460215	723179	737036	98.1	316
LK-62	Puttalam	709677	352455	357222	98.7	246
LK-71	Anuradhapura	745693	380516	365177	104.2	112
LK-72	Polonnaruwa	358984	187789	171195	109.7	117
LK-81	Badulla	779983	387583	392400	98.8	276
LK-82	Moneragala	397375	202816	194559	104.2	72
LK-91	Ratnapura	1015807	512903	502904	102.0	314
LK-92	Kegalle	785524	384613	400911	95.9	466
