region_id	region_name	total-population	aged-00-14	aged-15-59	aged-60-and-over	dependency-ratio-total	dependency-ratio-young	dependency-ratio-old
total	District-Total	16929689	4449026	10916791	1563872			
LK-11	Colombo	2251274	482280	1552727	216267			
LK-12	Gampaha	2063684	476269	1392743	194672			
LK-13	Kalutara	1066239	261436	684905	119898			
LK-21	Kandy	1279028	342228	813307	123493			
LK-22	Matale	441328	121130	281566	38632			
LK-23	Nuwara Eliya	703610	202763	447858	52989			
LK-31	Galle	990487	269614	604376	116497			
LK-32	Matara	761370	211796	460668	88906			
LK-33	Hambantota	526414	155132	322132	49150			
LK-52	Ampara	592997	190021	368680	34296			
LK-61	Kurunegala	1460215	374644	944570	141001			
LK-62	Puttalam	709677	208612	449322	51743			
LK-71	Anuradhapura	745693	215886	481220	48587			
LK-72	Polonnaruwa	358984	101234	234863	22887			
LK-81	Badulla	779983	231389	486842	61752			
LK-82	Moneragala	397375	126542	246006	24827			
LK-91	Ratnapura	1015807	278075	645972	91760			
LK-92	Kegalle	785524	199975	499034	86515			
